monitor_id,event_time,db_user,session_id,cpu_utilization,memory_utilization,active_connections,disk_read_kb,disk_write_kb,backup_status
15264,2026-01-01 10:16:33,procurement_staff_042,sess_procurement_staff_042_2026-01-01_G2_a666fe,10.40,21.91,56,230.71,17.55,N/A
15257,2026-01-01 10:16:57,procurement_staff_042,sess_procurement_staff_042_2026-01-01_G2_a666fe,17.97,28.93,84,605.08,59.98,N/A
15259,2026-01-01 10:20:22,data_analyst_057,sess_data_analyst_057_2026-01-01_G2_e97832,28.68,44.25,75,620.49,188.22,N/A
15262,2026-01-01 10:24:55.5,sales_staff_018,sess_sales_staff_018_2026-01-01_G2_b8f4a8,12.45,28.90,62,155.48,102.39,N/A
15261,2026-01-01 10:25:37,security_analyst_072,sess_security_analyst_072_2026-01-01_G2_b0d58f,23.13,36.25,53,515.92,21.66,N/A
15266,2026-01-01 10:26:19.5,data_engineer_069,sess_data_engineer_069_2026-01-01_G2_819de4,8.95,25.53,54,489.50,72.61,N/A
15263,2026-01-01 10:27:22.5,accountant_028,sess_accountant_028_2026-01-01_G2_13cf69,21.15,30.42,54,664.44,38.34,N/A
15272,2026-01-01 10:30:18,data_analyst_057,sess_data_analyst_057_2026-01-01_G2_e97832,11.86,35.04,82,337.12,80.39,N/A
15260,2026-01-01 10:30:45.5,senior_analyst_058,sess_senior_analyst_058_2026-01-01_G2_747079,15.50,38.72,85,597.49,105.67,N/A
15258,2026-01-01 10:32:17,data_analyst_056,sess_data_analyst_056_2026-01-01_G2_d10f0d,23.26,45.88,54,793.97,184.53,N/A
15265,2026-01-01 10:34:06.5,data_analyst_054,sess_data_analyst_054_2026-01-01_G2_6bdde6,25.12,25.74,55,312.82,68.55,N/A
15271,2026-01-01 10:35:10.5,accountant_025,sess_accountant_025_2026-01-01_G2_67c88e,18.10,25.13,59,207.58,66.42,N/A
15267,2026-01-01 10:37:00.5,procurement_staff_043,sess_procurement_staff_043_2026-01-01_G2_32b06b,17.14,29.84,96,524.98,125.58,N/A
15268,2026-01-01 10:38:10,junior_dba_074,sess_junior_dba_074_2026-01-01_G2_d16feb,17.96,37.44,88,278.94,115.97,N/A
15273,2026-01-01 10:39:09,security_analyst_072,sess_security_analyst_072_2026-01-01_G2_ce7b3f,21.88,28.01,84,228.06,117.29,N/A
15269,2026-01-01 10:41:40.5,developer_065,sess_developer_065_2026-01-01_G2_b0668a,14.09,33.45,90,550.49,105.53,N/A
15270,2026-01-01 10:44:38,accountant_030,sess_accountant_030_2026-01-01_G2_c28ec5,28.74,44.43,90,192.96,158.69,N/A
15275,2026-01-01 10:55:38,developer_064,sess_developer_064_2026-01-01_G2_f67fd9,19.87,34.76,96,153.28,73.66,N/A
15274,2026-01-01 11:00:50.5,hr_manager_052,sess_hr_manager_052_2026-01-01_G2_39fbeb,13.21,30.79,93,508.36,115.45,N/A
15277,2026-01-01 11:12:41,security_analyst_072,sess_security_analyst_072_2026-01-01_G2_2f4757,10.65,26.52,96,344.99,131.97,N/A
15276,2026-01-01 11:15:30,developer_061,sess_developer_061_2026-01-01_G2_667814,21.37,36.87,98,440.01,107.44,N/A
15279,2026-01-01 11:15:48,developer_067,sess_developer_067_2026-01-01_G2_1bb05a,13.40,23.22,101,239.17,65.73,N/A
15283,2026-01-01 11:19:30.5,accountant_029,sess_accountant_029_2026-01-01_G2_819aea,16.65,42.27,66,307.71,112.79,N/A
15281,2026-01-01 11:21:03.5,procurement_manager_045,sess_procurement_manager_045_2026-01-01_G2_c5c13f,25.01,36.99,67,297.82,131.60,N/A
15280,2026-01-01 11:22:58,sales_staff_009,sess_sales_staff_009_2026-01-01_G2_ab84f2,24.45,35.19,96,454.66,83.38,N/A
15278,2026-01-01 11:23:11,data_analyst_056,sess_data_analyst_056_2026-01-01_G2_a78a5c,24.21,46.58,84,712.77,91.81,N/A
15282,2026-01-01 11:24:01,procurement_staff_041,sess_procurement_staff_041_2026-01-01_G2_771c1b,16.48,27.76,84,462.84,101.01,N/A
15287,2026-01-01 11:25:49.5,data_analyst_053,sess_data_analyst_053_2026-01-01_G2_5d6c75,12.94,27.18,69,424.78,79.12,N/A
15284,2026-01-01 11:27:01,developer_063,sess_developer_063_2026-01-01_G2_ded4d5,14.32,37.51,56,580.72,98.51,N/A
15286,2026-01-01 11:33:04.5,developer_067,sess_developer_067_2026-01-01_G2_b19d23,13.50,32.64,97,517.99,106.83,N/A
15292,2026-01-01 11:41:23,hr_staff_050,sess_hr_staff_050_2026-01-01_G2_d6c469,13.98,29.24,99,172.90,36.20,N/A
15290,2026-01-01 11:41:29.5,sales_staff_011,sess_sales_staff_011_2026-01-01_G2_946d7b,20.21,32.81,91,481.94,68.49,N/A
15291,2026-01-01 11:42:23.5,sales_staff_013,sess_sales_staff_013_2026-01-01_G2_b976fe,17.16,39.02,93,342.20,94.44,N/A
15288,2026-01-01 11:42:35.5,accountant_031,sess_accountant_031_2026-01-01_G2_49a671,23.78,41.04,79,242.17,48.06,N/A
15289,2026-01-01 11:43:37.5,finance_manager_035,sess_finance_manager_035_2026-01-01_G2_4a75fc,21.61,38.21,72,232.60,85.38,N/A
15285,2026-01-01 11:44:45,finance_manager_034,sess_finance_manager_034_2026-01-01_G2_5dd152,17.13,43.28,99,534.81,95.50,N/A
15295,2026-01-01 11:44:50,developer_066,sess_developer_066_2026-01-01_G2_ccced3,13.40,26.17,73,106.88,94.82,N/A
15293,2026-01-01 11:49:26,security_analyst_071,sess_security_analyst_071_2026-01-01_G2_53435c,15.63,29.57,70,486.72,58.91,N/A
15297,2026-01-01 11:52:03,hr_staff_051,sess_hr_staff_051_2026-01-01_G2_8005b5,14.31,24.10,84,549.61,92.41,N/A
15298,2026-01-01 11:52:11,accountant_025,sess_accountant_025_2026-01-01_G2_ac26cd,10.77,34.17,90,298.11,43.49,N/A
15299,2026-01-01 11:54:36,accountant_033,sess_accountant_033_2026-01-01_G2_887b0a,15.49,22.59,92,507.87,67.23,N/A
15296,2026-01-01 11:55:03,data_analyst_054,sess_data_analyst_054_2026-01-01_G2_83abda,21.11,32.95,83,610.85,120.46,N/A
15294,2026-01-01 11:56:05,sales_staff_007,sess_sales_staff_007_2026-01-01_G2_d737f3,17.83,42.15,102,431.77,61.21,N/A
15301,2026-01-01 12:08:50.5,sales_staff_013,sess_sales_staff_013_2026-01-01_G2_b208b1,9.26,40.71,56,364.34,97.13,N/A
15304,2026-01-01 12:10:13,sales_staff_005,sess_sales_staff_005_2026-01-01_G3_c698a5,17.79,19.72,64,232.69,91.59,N/A
15305,2026-01-01 12:12:27,sales_staff_012,sess_sales_staff_012_2026-01-01_G3_9619c2,12.91,36.70,84,522.61,101.22,N/A
15308,2026-01-01 12:13:35,sales_staff_007,sess_sales_staff_007_2026-01-01_G2_d737f3,12.51,37.11,55,360.89,83.89,N/A
15303,2026-01-01 12:16:49.5,procurement_staff_042,sess_procurement_staff_042_2026-01-01_G3_348c13,17.60,25.25,100,490.08,37.21,N/A
15306,2026-01-01 12:16:52,procurement_staff_041,sess_procurement_staff_041_2026-01-01_G3_8c088a,12.23,38.69,88,259.74,64.94,N/A
15302,2026-01-01 12:18:17,developer_060,sess_developer_060_2026-01-01_G2_f4f9b4,13.96,25.71,85,222.69,82.42,N/A
15300,2026-01-01 12:20:12.5,finance_manager_034,sess_finance_manager_034_2026-01-01_G2_60262f,25.04,44.43,54,291.29,127.04,N/A
15307,2026-01-01 12:22:46,hr_staff_050,sess_hr_staff_050_2026-01-01_G3_3bd278,24.41,38.91,95,141.60,92.57,N/A
15309,2026-01-01 12:22:47,sales_staff_012,sess_sales_staff_012_2026-01-01_G3_7c5241,13.27,35.63,102,458.41,27.96,N/A
15310,2026-01-01 12:27:37.5,procurement_staff_039,sess_procurement_staff_039_2026-01-01_G3_4095ab,22.55,31.74,101,500.08,121.38,N/A
15311,2026-01-01 12:27:56.5,sales_staff_001,sess_sales_staff_001_2026-01-01_G3_fa7ad8,19.78,40.79,56,337.97,45.85,N/A
15312,2026-01-01 12:30:46,accountant_031,sess_accountant_031_2026-01-01_G3_baf2d2,19.35,34.93,98,300.90,100.71,N/A
15313,2026-01-01 12:33:23.5,procurement_staff_038,sess_procurement_staff_038_2026-01-01_G3_a8341b,23.69,26.33,87,634.44,51.82,N/A
15314,2026-01-01 12:34:13,sales_staff_005,sess_sales_staff_005_2026-01-01_G3_c7d52d,15.81,26.63,68,484.83,52.88,N/A
15316,2026-01-01 12:34:29.5,procurement_staff_037,sess_procurement_staff_037_2026-01-01_G3_ce2cbe,12.78,26.61,73,252.44,78.58,N/A
15317,2026-01-01 12:42:17.5,procurement_staff_037,sess_procurement_staff_037_2026-01-01_G3_9068fe,13.76,35.65,96,527.83,102.56,N/A
15315,2026-01-01 12:44:24.5,sales_staff_006,sess_sales_staff_006_2026-01-01_G3_498ba9,14.62,44.07,62,521.80,106.37,N/A
15318,2026-01-01 12:48:33.5,sales_staff_011,sess_sales_staff_011_2026-01-01_G3_7fdba9,18.56,27.20,102,580.10,114.37,N/A
15319,2026-01-01 12:56:47,accountant_029,sess_accountant_029_2026-01-01_G3_4c7f03,13.56,40.37,95,543.55,71.23,N/A
15321,2026-01-01 12:58:35,hr_staff_051,sess_hr_staff_051_2026-01-01_G3_7d632f,21.81,29.24,93,337.03,49.54,N/A
15322,2026-01-01 12:59:46,sales_staff_005,sess_sales_staff_005_2026-01-01_G3_a910d3,15.54,27.26,65,351.81,57.83,N/A
15320,2026-01-01 13:02:58,security_analyst_071,sess_security_analyst_071_2026-01-01_G3_ed3a02,15.31,21.31,58,431.93,100.97,N/A
15324,2026-01-01 13:04:26.5,sales_manager_023,sess_sales_manager_023_2026-01-01_G3_785781,15.76,36.56,94,673.31,125.89,N/A
15326,2026-01-01 13:06:02.5,data_engineer_069,sess_data_engineer_069_2026-01-01_G3_2cf5d9,19.69,36.97,77,171.58,94.25,N/A
15323,2026-01-01 13:10:12.5,data_analyst_057,sess_data_analyst_057_2026-01-01_G3_ecac94,13.15,40.76,64,452.91,58.72,N/A
15325,2026-01-01 13:15:53,senior_analyst_058,sess_senior_analyst_058_2026-01-01_G3_2577b7,24.20,32.75,92,187.94,135.88,N/A
15327,2026-01-01 13:16:46,accountant_026,sess_accountant_026_2026-01-01_G3_203388,20.05,29.30,67,430.18,117.53,N/A
15329,2026-01-01 13:17:12,sales_staff_014,sess_sales_staff_014_2026-01-01_G3_83d070,19.06,37.41,84,384.54,89.18,N/A
15332,2026-01-01 13:18:04,hr_staff_050,sess_hr_staff_050_2026-01-01_G3_f32329,18.01,26.24,71,324.79,43.92,N/A
15328,2026-01-01 13:19:48.5,data_engineer_070,sess_data_engineer_070_2026-01-01_G3_91d4d6,12.20,33.39,97,487.79,44.11,N/A
15331,2026-01-01 13:20:28,hr_staff_049,sess_hr_staff_049_2026-01-01_G3_deb4cb,17.16,26.10,75,547.37,37.75,N/A
15330,2026-01-01 13:22:05.5,sales_manager_023,sess_sales_manager_023_2026-01-01_G3_569498,16.10,25.16,75,198.33,112.62,N/A
15333,2026-01-01 13:22:22,sales_staff_010,sess_sales_staff_010_2026-01-01_G3_a838a9,20.55,38.60,100,428.15,89.83,N/A
15336,2026-01-01 13:23:58,hr_staff_050,sess_hr_staff_050_2026-01-01_G3_f32329,19.12,30.19,63,260.64,24.85,N/A
15334,2026-01-01 13:24:16,security_manager_073,sess_security_manager_073_2026-01-01_G3_489997,11.53,33.07,74,489.86,80.65,N/A
15335,2026-01-01 13:31:08.5,developer_063,sess_developer_063_2026-01-01_G3_81dd1b,9.65,26.27,64,210.61,107.11,N/A
15337,2026-01-01 13:35:46.5,security_manager_073,sess_security_manager_073_2026-01-01_G3_f2a356,21.25,26.97,94,225.06,82.37,N/A
15342,2026-01-01 13:36:24.5,developer_063,sess_developer_063_2026-01-01_G3_4a6c29,19.91,38.74,63,143.46,71.45,N/A
15339,2026-01-01 13:38:21.5,security_manager_073,sess_security_manager_073_2026-01-01_G3_041a37,21.24,23.77,97,237.48,95.76,N/A
15344,2026-01-01 13:41:56,data_engineer_069,sess_data_engineer_069_2026-01-01_G3_9c886f,22.94,39.17,99,348.19,78.55,N/A
15345,2026-01-01 13:42:40,procurement_staff_040,sess_procurement_staff_040_2026-01-01_G3_1396f3,12.59,25.04,71,502.85,24.53,N/A
15352,2026-01-01 13:43:25,admin_079,sess_admin_079_2026-01-01_G3_f83953,15.87,29.99,74,246.53,89.55,RUNNING
15338,2026-01-01 13:44:06.5,finance_manager_035,sess_finance_manager_035_2026-01-01_G3_764831,17.91,43.89,68,89.50,95.65,N/A
15340,2026-01-01 13:44:51,sales_manager_022,sess_sales_manager_022_2026-01-01_G3_6aadd6,18.52,40.57,72,571.15,116.53,N/A
15347,2026-01-01 13:44:58.5,accountant_029,sess_accountant_029_2026-01-01_G3_d056fc,9.52,24.47,92,238.71,83.06,N/A
15348,2026-01-01 13:46:13.5,sales_staff_001,sess_sales_staff_001_2026-01-01_G3_beae1d,23.85,26.62,100,561.61,65.28,N/A
15346,2026-01-01 13:46:17.5,sales_staff_018,sess_sales_staff_018_2026-01-01_G3_0d4fc2,20.83,41.93,72,295.40,88.78,N/A
15350,2026-01-01 13:51:18.5,sales_staff_014,sess_sales_staff_014_2026-01-01_G3_e9c048,10.13,24.62,75,118.47,118.33,N/A
15343,2026-01-01 13:51:57.5,data_analyst_057,sess_data_analyst_057_2026-01-01_G3_0b2cc3,15.92,34.59,88,647.32,179.82,N/A
15349,2026-01-01 13:54:11,sales_staff_007,sess_sales_staff_007_2026-01-01_G3_40647b,20.25,41.49,84,269.27,41.63,N/A
15355,2026-01-01 13:54:59,procurement_staff_039,sess_procurement_staff_039_2026-01-01_G3_e3ae5c,11.81,28.50,56,244.89,98.56,N/A
15353,2026-01-01 13:57:05,sales_staff_014,sess_sales_staff_014_2026-01-01_G3_2bb1af,11.01,24.64,84,317.82,43.09,N/A
15356,2026-01-01 13:57:12.5,sales_staff_018,sess_sales_staff_018_2026-01-01_G3_d9c9d5,15.47,36.19,102,557.46,98.50,N/A
15351,2026-01-01 13:57:36,data_engineer_068,sess_data_engineer_068_2026-01-01_G3_919b93,27.57,36.55,51,532.43,47.03,N/A
15341,2026-01-01 13:59:10,senior_analyst_059,sess_senior_analyst_059_2026-01-01_G3_a44b90,24.61,34.46,55,409.72,120.14,N/A
15358,2026-01-01 14:02:24,sales_staff_011,sess_sales_staff_011_2026-01-01_G3_812e66,10.71,30.77,76,157.78,101.55,N/A
15357,2026-01-01 14:04:34.5,hr_staff_047,sess_hr_staff_047_2026-01-01_G3_320a24,20.09,28.50,58,460.04,55.05,N/A
15359,2026-01-01 14:04:58.5,security_manager_073,sess_security_manager_073_2026-01-01_G3_9b21e7,13.91,43.75,55,443.14,42.17,N/A
15360,2026-01-01 14:05:38.5,developer_066,sess_developer_066_2026-01-01_G3_ecbf28,25.57,28.55,62,331.90,29.71,N/A
15354,2026-01-01 14:06:24,accountant_026,sess_accountant_026_2026-01-01_G3_7bda57,20.41,26.80,93,609.23,168.80,N/A
15361,2026-01-01 14:07:58,accountant_026,sess_accountant_026_2026-01-01_G3_47a374,19.53,38.44,60,632.97,97.28,N/A
15363,2026-01-01 14:22:06.5,data_engineer_070,sess_data_engineer_070_2026-01-01_G4_f5b4ec,16.25,40.91,72,313.69,81.48,N/A
15366,2026-01-01 14:24:02.5,hr_staff_051,sess_hr_staff_051_2026-01-01_G4_dc2bf8,21.87,31.03,82,332.13,24.23,N/A
15367,2026-01-01 14:24:06,procurement_staff_038,sess_procurement_staff_038_2026-01-01_G4_2ef7bd,13.42,23.08,55,494.25,29.41,N/A
15364,2026-01-01 14:24:32,developer_065,sess_developer_065_2026-01-01_G4_1bed69,15.54,25.25,54,500.40,68.01,N/A
15362,2026-01-01 14:27:14.5,procurement_manager_045,sess_procurement_manager_045_2026-01-01_G4_16cf4c,18.46,34.36,94,724.38,64.96,N/A
15365,2026-01-01 14:30:10,sales_staff_008,sess_sales_staff_008_2026-01-01_G4_ac5bc2,14.61,34.06,88,442.08,39.07,N/A
15370,2026-01-01 14:32:58,developer_065,sess_developer_065_2026-01-01_G4_1bed69,10.51,29.72,96,409.57,67.15,N/A
15368,2026-01-01 14:35:42.5,hr_staff_047,sess_hr_staff_047_2026-01-01_G4_e90592,12.43,33.21,91,408.36,62.09,N/A
15372,2026-01-01 14:38:55,developer_065,sess_developer_065_2026-01-01_G4_1bed69,17.92,32.00,82,168.81,20.47,N/A
15369,2026-01-01 14:46:45,hr_staff_046,sess_hr_staff_046_2026-01-01_G4_f89c96,19.14,37.23,76,553.43,41.78,N/A
15374,2026-01-01 14:52:00,data_engineer_069,sess_data_engineer_069_2026-01-01_G4_f61761,21.88,41.64,72,220.21,70.12,N/A
15371,2026-01-01 14:52:54.5,sales_staff_009,sess_sales_staff_009_2026-01-01_G4_0ff992,26.44,37.12,66,288.23,130.78,N/A
15376,2026-01-01 14:53:43,junior_dba_075,sess_junior_dba_075_2026-01-01_G4_c91148,17.45,30.29,79,373.99,45.54,N/A
15373,2026-01-01 14:57:38,sales_staff_016,sess_sales_staff_016_2026-01-01_G4_fffeb5,12.50,44.59,88,564.27,117.17,N/A
15380,2026-01-01 15:03:27,developer_060,sess_developer_060_2026-01-01_G4_cb5fb8,7.61,28.98,53,438.04,90.13,N/A
15375,2026-01-01 15:04:41,sales_manager_023,sess_sales_manager_023_2026-01-01_G4_858cdf,25.83,31.68,70,459.34,38.93,N/A
15378,2026-01-01 15:06:47.5,data_engineer_070,sess_data_engineer_070_2026-01-01_G4_8b9a13,20.26,34.75,67,269.48,87.83,N/A
15379,2026-01-01 15:11:30.5,hr_staff_046,sess_hr_staff_046_2026-01-01_G4_9ce12e,11.42,39.84,62,695.81,91.22,N/A
15381,2026-01-01 15:13:50.5,sales_staff_008,sess_sales_staff_008_2026-01-01_G4_95de99,16.77,25.24,87,544.06,44.41,N/A
15382,2026-01-01 15:19:11.5,finance_manager_035,sess_finance_manager_035_2026-01-01_G4_d77a62,16.48,39.96,79,477.77,64.42,N/A
15383,2026-01-01 15:19:20,accountant_025,sess_accountant_025_2026-01-01_G4_b77f68,11.28,25.18,62,462.30,115.67,N/A
15377,2026-01-01 15:19:21.5,developer_060,sess_developer_060_2026-01-01_G4_cb5fb8,17.28,33.12,94,419.35,135.57,N/A
15385,2026-01-01 15:22:37.5,accountant_033,sess_accountant_033_2026-01-01_G4_e54e05,16.86,25.23,76,624.20,139.49,N/A
15388,2026-01-01 15:24:11,sales_staff_008,sess_sales_staff_008_2026-01-01_G4_95de99,5.83,37.83,86,289.27,40.66,N/A
15391,2026-01-01 15:29:03,hr_manager_052,sess_hr_manager_052_2026-01-01_G4_fc61e2,17.73,40.40,86,482.26,12.47,N/A
15387,2026-01-01 15:29:52.5,procurement_staff_037,sess_procurement_staff_037_2026-01-01_G4_9db7b8,16.77,38.66,56,303.31,126.13,N/A
15386,2026-01-01 15:30:43.5,data_engineer_068,sess_data_engineer_068_2026-01-01_G4_3fa682,19.89,28.03,51,291.47,52.72,N/A
15384,2026-01-01 15:34:04,hr_manager_052,sess_hr_manager_052_2026-01-01_G4_fc61e2,23.14,28.43,94,298.45,59.71,N/A
15390,2026-01-01 15:38:54,hr_staff_049,sess_hr_staff_049_2026-01-01_G4_5bcf73,25.22,22.61,79,647.58,108.78,N/A
15389,2026-01-01 15:39:32,developer_061,sess_developer_061_2026-01-01_G4_cb74b7,14.91,38.22,84,275.71,112.84,N/A
15393,2026-01-01 15:48:26,accountant_033,sess_accountant_033_2026-01-01_G4_65309b,10.72,39.93,77,572.33,90.08,N/A
15392,2026-01-01 15:49:47.5,accountant_025,sess_accountant_025_2026-01-01_G4_a5b3f0,9.04,31.08,58,102.17,97.31,N/A
15394,2026-01-01 16:03:24,data_engineer_068,sess_data_engineer_068_2026-01-01_G4_403b80,21.05,35.39,84,495.35,55.06,N/A
15396,2026-01-01 16:05:55.5,hr_staff_047,sess_hr_staff_047_2026-01-01_G4_6bfa8b,14.15,29.25,85,229.21,52.61,N/A
15395,2026-01-01 16:06:34,junior_dba_074,sess_junior_dba_074_2026-01-01_G4_d72409,13.97,31.20,87,556.70,107.63,N/A
15397,2026-01-01 16:08:16,data_engineer_070,sess_data_engineer_070_2026-01-01_G4_bb8bc1,19.08,31.78,56,88.54,90.65,N/A
15398,2026-01-01 16:08:48,admin_079,sess_admin_079_2026-01-01_G4_8c44c4,14.48,35.40,70,199.51,64.43,RUNNING
15399,2026-01-01 16:25:55,hr_staff_051,sess_hr_staff_051_2026-01-01_G4_00daf9,19.77,25.94,76,569.23,102.09,N/A
15401,2026-01-01 16:29:42.5,data_analyst_057,sess_data_analyst_057_2026-01-01_G4_d8485f,15.80,40.22,98,609.17,29.45,N/A
15400,2026-01-01 16:30:30.5,developer_064,sess_developer_064_2026-01-01_G4_802660,20.97,32.20,79,170.83,94.11,N/A
15402,2026-01-01 16:35:22,sales_staff_016,sess_sales_staff_016_2026-01-01_G4_fea54a,26.15,36.28,95,497.00,87.90,N/A
15403,2026-01-01 16:43:52,sales_staff_010,sess_sales_staff_010_2026-01-01_G4_ab2467,8.99,27.86,89,187.24,65.00,N/A
15404,2026-01-01 16:52:14.5,sales_staff_019,sess_sales_staff_019_2026-01-01_G4_c6ec7b,22.54,39.80,80,324.50,144.91,N/A
15405,2026-01-01 16:54:54.5,developer_064,sess_developer_064_2026-01-01_G4_1441c4,21.61,45.02,52,261.87,26.65,N/A
15407,2026-01-01 16:57:03,accountant_029,sess_accountant_029_2026-01-01_G4_75c15c,20.22,40.04,88,174.23,64.58,N/A
15406,2026-01-01 17:02:04.5,junior_dba_076,sess_junior_dba_076_2026-01-01_G4_d5dc48,21.28,36.59,66,232.34,130.43,N/A
15408,2026-01-01 17:07:39,junior_dba_075,sess_junior_dba_075_2026-01-01_G4_c79b5f,25.66,29.88,58,470.31,96.33,N/A
15410,2026-01-01 17:09:49,sales_staff_012,sess_sales_staff_012_2026-01-01_G4_162727,25.81,39.59,102,199.26,53.96,N/A
15409,2026-01-01 17:10:28,hr_staff_050,sess_hr_staff_050_2026-01-01_G4_d3e7e7,11.53,44.90,80,544.44,103.47,N/A
15412,2026-01-01 17:11:35,security_analyst_072,sess_security_analyst_072_2026-01-01_G4_b5d88d,23.65,29.76,78,274.68,79.49,N/A
15411,2026-01-01 17:15:06,sales_staff_013,sess_sales_staff_013_2026-01-01_G4_b27383,12.58,39.44,55,398.35,131.26,N/A
15415,2026-01-01 17:24:50,sales_staff_017,sess_sales_staff_017_2026-01-01_G4_f50a76,21.76,36.20,99,347.63,43.99,N/A
